Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2021-03-15,101.87996673583984,101.90723768058707,100.5583928421277,101.41084443797796,26168000
2021-03-16,103.34040069580078,104.81768533806229,102.12047992122729,102.45273295151992,31900000
2021-03-17,103.257568359375,104.08968771643904,101.36818547416158,102.57570402029985,26382000
2021-03-18,100.238525390625,102.58959237276454,100.13140900343207,101.56951989998234,31700000
2021-03-19,100.51721954345703,101.01708592464301,99.32556866080017,100.65458821260705,46072000
2021-03-22,100.70219421386719,101.57745981871109,99.87453168948488,100.55044851754279,33536000
2021-03-23,101.2298355102539,102.35949880770968,100.56880265494154,101.1614008768052,28510000
2021-03-24,100.79344177246094,102.53256214622269,100.61838259998439,101.74705457606407,25218000
2021-03-25,100.78997039794922,101.44356501016514,98.9863728269257,100.62086633670765,35616000
2021-03-26,100.40664672851562,101.1336323017579,99.37119832005897,100.75674996559889,27978000
2021-03-29,101.45101165771484,101.62061514543679,99.45054707058068,100.2792009272737,26492000
2021-03-30,101.48474884033203,102.28810679349341,100.97297967781448,101.80758117883023,27312000
2021-03-31,102.28065490722656,103.45792888550099,101.51101496662734,101.87798472633357,42570000
2021-04-01,105.61608123779297,105.91213441854954,103.71430370630291,103.7549679821722,39880000
2021-04-05,110.03853607177734,110.5359281464989,106.38126321505356,106.47746820855774,48510000
2021-04-06,109.55750274658203,110.48682596318324,109.18706739203486,109.63982255502079,35240000
2021-04-07,111.03382110595703,111.30507774335658,109.74794750975937,109.74794750975937,24134000
2021-04-08,111.59913635253906,112.658382510487,111.23117534122576,112.27207187647824,28664000
2021-04-09,112.60283660888672,112.76648496837154,110.94602844319752,111.35167993918043,26146000
2021-04-12,111.31101989746094,111.91948581429651,110.47790163265579,111.78212470167257,25024000
2021-04-13,111.7974853515625,112.24578362522868,111.23314936962267,111.62689819177633,25682000
2021-04-14,111.17662811279297,112.44216945631923,110.88454751475824,112.44216945631923,21002000
2021-04-15,113.32585144042969,113.85895143791116,111.63582486861483,112.17040796947886,29174000
2021-04-16,113.20188903808594,113.77168077567667,112.61523834787371,113.52373007572085,26282000
2021-04-19,113.54951477050781,114.26014079100582,112.57854354901255,112.57854354901255,30290000
2021-04-20,113.01642608642578,114.00772947962533,111.93090021599527,113.93284788352207,22288000
2021-04-21,112.98369598388672,113.06551638343237,111.32093263815867,112.67127568827584,23204000
2021-04-22,111.70278930664062,113.50588770826465,111.09778895159508,112.83740900343702,24146000
