Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2021-03-15,136.82293701171875,138.18791079419634,135.58126384085173,137.6859606692276,12101100
2021-03-16,135.1849822998047,136.1448754903237,134.02256219436296,135.69574733185925,12805600
2021-03-17,136.57638549804688,138.15271474460525,134.7799130237469,136.79654216308492,13952400
2021-03-18,138.83082580566406,142.38856601668954,138.35529319072114,138.78680521037873,21898500
2021-03-19,136.62039184570312,137.32489571858508,133.1419199301348,136.94621934402736,54418800
2021-03-22,132.9481658935547,135.59004503812454,132.63113985871462,134.55971378421737,19944800
2021-03-23,131.6184844970703,133.9609415203398,131.1781711069169,132.3846254960018,17076300
2021-03-24,132.6399688720703,134.89437072768226,131.9706975203402,132.0939847019035,13079800
2021-03-25,134.33961486816406,134.70947649473055,131.5039956271896,132.09401394366222,15608300
2021-03-26,136.57638549804688,136.89341163319352,134.33959969367083,135.8806963489371,16754400
2021-03-29,134.45407104492188,135.37873171882052,133.00984387026077,133.9609222687883,17570300
2021-03-30,136.03916931152344,137.2632395312353,135.51080150748052,136.0215664574939,13184300
2021-03-31,134.0577850341797,136.04800977200048,133.96091556961943,134.98244566183757,16736700
2021-04-01,135.36114501953125,135.43158333541928,133.4589879954035,133.767199298632,16561500
2021-04-05,136.07864379882812,137.24792391986435,135.17512390505198,136.7695771370989,13508000
2021-04-06,135.1219482421875,136.66326817490452,134.51960171546628,135.34340155638282,13071600
2021-04-07,137.23907470703125,137.50482145187675,135.2194210725108,135.61804794799954,16903500
2021-04-08,137.4073486328125,137.7528152637231,134.91821553363113,136.4152421063897,12335500
2021-04-09,138.43490600585938,139.10811927013245,137.27449270723926,138.01857265982088,12122400
2021-04-12,138.14260864257812,139.29416886269624,137.80600871345385,137.81486198227995,12273400
2021-04-13,136.49496459960938,137.47821787766935,135.02451131594526,137.07960460633433,16113600
2021-04-14,133.94383239746094,136.26465887240974,133.69579224323164,134.1741389849991,19939600
2021-04-15,134.794189453125,134.8207627671065,132.269630009829,133.9792429526745,17694100
2021-04-16,135.79518127441406,136.86700779569176,135.25483462202538,136.30008782568052,13773400
2021-04-19,135.21939086914062,136.3089509279928,134.8384976492119,135.9014708747213,11900200
2021-04-20,132.225341796875,134.42215477565736,131.67612841485172,134.41330150946425,13716700
2021-04-21,133.3502960205078,133.41230942441723,130.02849694797544,130.91431003398407,12236700
2021-04-22,130.5422821044922,133.13772171252722,130.44484211545804,133.07570830294355,15256100
2021-04-23,133.04031372070312,133.8729804606328,129.9399668903332,130.37400679606372,14041900
2021-04-26,133.36807250976562,135.05112619533114,133.20863257469603,133.56295255247787,10799100
2021-04-27,133.979248046875,134.26271476203746,132.96942152787338,133.31488813920456,12821200
2021-04-28,134.8473358154297,135.4319757547434,134.11210925837207,135.02449574710272,8943700
2021-04-29,137.46934509277344,137.54906503243413,135.70657205602726,136.00774528348057,12976900
